id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|बिहारी किस काल के कवि हैं?|आदिकाल|भक्तिकाल|रीतिकाल|आधुनिक काल|रीतिकाल|Non-Hindi_C6|30
2|'मेरी भव बाधा हरो' - इस पंक्ति में 'भव बाधा' का क्या अर्थ है?|सांसारिक बाधाएँ|शारीरिक कष्ट|आर्थिक समस्या|पारिवारिक कलह|सांसारिक बाधाएँ|Non-Hindi_C6|30
3|बिहारी ने राधा की परछाई को कैसा बताया है?|चतुर|सुंदर|दुःख हरने वाली|मंगल करने वाली|चतुर|Non-Hindi_C6|30
4|बिहारी के अनुसार, मनुष्य किसके बिना बड़ा नहीं बन सकता?|धन के बिना|गुण के बिना|बल के बिना|ज्ञान के बिना|गुण के बिना|Non-Hindi_C6|30
5|'जपमाला, छापैं, तिलक' - बिहारी ने इन्हें क्या माना है?|भक्ति का सार|बाह्य आडंबर|मोक्ष का साधन|ईश्वर प्राप्ति का मार्ग|बाह्य आडंबर|Non-Hindi_C6|30
6|बिहारी के अनुसार, सच्चा भक्त कौन है?|जो माला जपता है|जो तिलक लगाता है|जिसका मन भक्ति में रमा हो|जो रोज मंदिर जाता है|जिसका मन भक्ति में रमा हो|Non-Hindi_C6|30
7|'नर की अरु नल-नीर की' - इस दोहे में बिहारी ने किसकी तुलना की है?|मनुष्य और पानी|मनुष्य और नल का पानी|राजा और प्रजा|अमीर और गरीब|मनुष्य और नल का पानी|Non-Hindi_C6|30
8|मनुष्य और नल का पानी जितना नीचे होकर चलता है, उतना ही क्या होता है?|गंदा होता है|ऊँचा उठता है|व्यर्थ हो जाता है|धीमा हो जाता है|ऊँचा उठता है|Non-Hindi_C6|30
9|'कनक' शब्द का प्रयोग बिहारी ने किन दो अर्थों में किया है?|सोना और चाँदी|सोना और धतूरा|गेहूँ और धतूरा|पीतल और सोना|सोना और धतूरा|Non-Hindi_C6|30
10|बिहारी के अनुसार, क्या पाने से व्यक्ति पागल हो जाता है?|सोना|धतूरा|धन-दौलत|सत्ता|धन-दौलत|Non-Hindi_C6|30
